player_name,club,atta_serial,atta_position,atta_assists,atta_corner_taken,atta_offsides,atta_dribbles,atta_match_played,atte_serial,atte_position,atte_total_attempts,atte_on_target,atte_off_target,atte_blocked,atte_match_played,defe_serial,defe_position,defe_balls_recoverd,defe_tackles,defe_t_won,defe_t_lost,defe_clearance_attempted,defe_match_played,disc_serial,disc_position,disc_fouls_committed,disc_fouls_suffered,disc_red,disc_yellow,disc_minutes_played,disc_match_played,dist_serial,dist_position,dist_pass_accuracy,dist_pass_attempted,dist_pass_completed,dist_cross_accuracy,dist_cross_attempted,dist_cross_complted,dist_freekicks_taken,dist_match_played,goal_serial_x,goal_position_x,goal_saved,goal_conceded,goal_saved_penalties,goal_cleansheets,goal_punches_made,goal_match_played_x,goal_serial_y,goal_position_y,goal_goals,goal_right_foot,goal_left_foot,goal_headers,goal_others,goal_inside_area,goal_outside_areas,goal_penalties,goal_match_played_y,key__position,key__minutes_played,key__match_played,key__goals,key__assists,key__distance_covered,cluster,pca1,pca2
dia,villarreal,0.0,0,0.0,0.0,0.0,0.0,0.0,179.0,Forward,5.0,2.0,1.0,2.0,8.0,507.0,Forward,3.0,2.0,2.0,0.0,3.0,8.0,326.0,Forward,3.0,3.0,0.0,0.0,258.0,8.0,593.0,Forward,54.4,46.0,35.0,0.0,0.0,0.0,1.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Forward,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,Forward,258.0,8.0,1.0,0.0,33.3,2,0.7220724108027234,-1.6563495009919584
diallo,man. united,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,Midfielder,2.0,1.0,0.0,1.0,1.0,479.0,Midfielder,4.0,0.0,0.0,0.0,0.0,1.0,491.0,Midfielder,1.0,1.0,0.0,0.0,68.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,68.0,1.0,0.0,0.0,8.3,3,-4.377765614199642,-1.8587431340394636
diallo,paris,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,250.0,Defender,15.0,1.0,0.0,1.0,10.0,2.0,263.0,Defender,4.0,0.0,0.0,0.0,165.0,2.0,228.0,Defender,85.5,117.0,103.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,165.0,2.0,0.0,0.0,17.9,1,-3.0317893272293333,-0.05982719424379269
diawara,malmö,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,Goalkeeper,61.3,66.0,48.0,0.0,0.0,0.0,4.0,3.0,25.0,Goalkeeper,13.0,6.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,225.0,3.0,0.0,0.0,11.1,3,-4.353568544681526,-0.17904443269473572
diego carlos,sevilla,0.0,0,0.0,0.0,0.0,0.0,0.0,219.0,Defender,4.0,1.0,3.0,0.0,6.0,41.0,Defender,41.0,3.0,1.0,2.0,20.0,6.0,491.0,Defender,1.0,3.0,2.0,0.0,539.0,6.0,87.0,Defender,90.2,414.0,374.0,0.0,0.0,0.0,11.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,539.0,6.0,0.0,0.0,58.7,0,0.980583690869951,3.0484763459333926
dimarco,inter,0.0,0,0.0,0.0,0.0,0.0,0.0,153.0,Defender,6.0,2.0,2.0,2.0,7.0,300.0,Defender,12.0,2.0,2.0,0.0,7.0,7.0,326.0,Defender,3.0,2.0,1.0,0.0,283.0,7.0,119.0,Defender,89.3,158.0,138.0,29.0,37.0,11.0,10.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,283.0,7.0,0.0,0.0,36.3,1,1.139635911405433,0.8911757129453006
dina ebimbe,paris,0.0,0,0.0,0.0,0.0,0.0,0.0,440.0,Midfielder,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,7.0,1.0,0.0,0.0,1.2,3,-4.74104589325161,-1.3163480332941326
diogo costa,porto,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,Goalkeeper,64.8,269.0,173.0,0.0,0.0,0.0,33.0,6.0,11.0,Goalkeeper,18.0,11.0,0.0,2.0,2.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,540.0,6.0,0.0,0.0,31.7,3,-3.252716941533187,2.152615640273466
diogo gonçalves,benfica,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,Midfielder,2.0,1.0,1.0,0.0,5.0,428.0,Midfielder,6.0,2.0,1.0,1.0,4.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,Midfielder,69.4,42.0,35.0,20.0,5.0,1.0,1.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,131.0,5.0,0.0,0.0,18,1,-2.4104605597452697,-0.4699956446954264
diogo jota,liverpool,64.0,Forward,1.0,0.0,4.0,19.0,11.0,31.0,Forward,16.0,7.0,4.0,5.0,11.0,285.0,Forward,13.0,7.0,2.0,5.0,1.0,11.0,40.0,Forward,11.0,6.0,2.0,0.0,578.0,11.0,370.0,Forward,80.5,234.0,189.0,0.0,1.0,0.0,0.0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Forward,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,Forward,578.0,11.0,1.0,1.0,73.9,6,7.372496328894698,-1.676766609505345
djimsiti,atalanta,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,102.0,Defender,31.0,5.0,4.0,1.0,8.0,5.0,326.0,Defender,3.0,1.0,0.0,0.0,260.0,5.0,306.0,Defender,83.0,191.0,160.0,100.0,1.0,1.0,6.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,260.0,5.0,0.0,0.0,31.5,1,-0.9053237657870271,1.5380089407582287
dodô,shakhtar donetsk,0.0,0,0.0,0.0,0.0,0.0,0.0,130.0,Defender,7.0,2.0,4.0,1.0,6.0,64.0,Defender,37.0,10.0,6.0,4.0,8.0,6.0,201.0,Defender,5.0,8.0,0.0,0.0,540.0,6.0,140.0,Defender,88.2,289.0,256.0,10.0,10.0,1.0,11.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,540.0,6.0,0.0,0.0,64.5,0,1.786465895373988,2.819357817103262
donnarumma,paris,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,Goalkeeper,83.8,153.0,128.0,0.0,0.0,0.0,13.0,5.0,11.0,Goalkeeper,18.0,6.0,1.0,2.0,9.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,450.0,5.0,0.0,0.0,27.5,3,-4.282632090752451,1.927507831305793
dost,club brugge,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,Forward,2.0,1.0,1.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,Forward,2.0,1.0,0.0,0.0,68.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,68.0,3.0,0.0,0.0,8.6,3,-3.9691090308522705,-1.2749616671734112
douglas santos,zenit,24.0,Defender,2.0,6.0,1.0,3.0,5.0,179.0,Defender,5.0,0.0,3.0,2.0,5.0,166.0,Defender,23.0,8.0,5.0,3.0,20.0,5.0,263.0,Defender,4.0,6.0,0.0,0.0,444.0,5.0,242.0,Defender,85.0,238.0,202.0,39.0,23.0,9.0,4.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,444.0,5.0,0.0,2.0,50.5,0,2.7166337445794877,1.4520393551803605
draxler,paris,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,Forward,2.0,0.0,1.0,1.0,3.0,448.0,Forward,5.0,2.0,1.0,1.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,Forward,77.0,76.0,68.0,0.0,1.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,136.0,3.0,0.0,0.0,15.1,1,-3.087412541597733,-0.6997945842491505
