serial_attacking,player_name,club,position,assists_attacking,corner_taken_attacking,offsides_attacking,dribbles_attacking,match_played_attacking,serial_attempts,total_attempts_attempts,on_target_attempts,off_target_attempts,blocked_attempts,match_played_attempts,serial_goals,goals_goals,right_foot_goals,left_foot_goals,headers_goals,others_goals,inside_area_goals,outside_areas_goals,penalties_goals,match_played_goals,serial_disciplinary,fouls_committed_disciplinary,fouls_suffered_disciplinary,red_disciplinary,yellow_disciplinary,minutes_played_disciplinary,match_played_disciplinary,minutes_played_key_stats,match_played_key_stats,goals_key_stats,assists_key_stats,distance_covered_key_stats,cluster_offensive
,Bradley,Liverpool,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.4,3
64.0,Brahim Díaz,Milan,Midfielder,1.0,0.0,0.0,19.0,5.0,179.0,5.0,2.0,2.0,1.0,5.0,73.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,326.0,3.0,12.0,1.0,0.0,351.0,5.0,351.0,5.0,1.0,1.0,43.9,2
,Brandt,Dortmund,Midfielder,,,,,,219.0,4.0,0.0,3.0,1.0,5.0,,,,,,,,,,,417.0,2.0,2.0,0.0,0.0,395.0,5.0,395.0,5.0,0.0,0.0,51.8,3
,Brobbey,Ajax,Forward,,,,,,440.0,1.0,0.0,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,3
,Brobbey,Leipzig,Forward,,,,,,,,,,,,,,,,,,,,,,326.0,3.0,3.0,0.0,0.0,115.0,5.0,115.0,5.0,0.0,0.0,14.3,3
,Brooks,Wolfsburg,Defender,,,,,,,,,,,,,,,,,,,,,,201.0,5.0,0.0,3.0,1.0,331.0,4.0,331.0,4.0,0.0,0.0,36.3,3
,Brorsson,Malmö,Defender,,,,,,,,,,,,,,,,,,,,,,201.0,5.0,2.0,2.0,0.0,448.0,5.0,448.0,5.0,0.0,0.0,49.9,3
,Brozović,Inter,Midfielder,,,,,,69.0,11.0,1.0,4.0,6.0,8.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,201.0,5.0,6.0,0.0,0.0,635.0,8.0,635.0,8.0,1.0,0.0,89.3,2
,Bruno,Sheriff,Midfielder,,,,,,277.0,3.0,1.0,1.0,1.0,6.0,,,,,,,,,,,107.0,7.0,5.0,0.0,0.0,312.0,6.0,312.0,6.0,0.0,0.0,38.5,0
,Bruno Costa,Porto,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,0.0,0.0,2,3
